id, version, date, weathercitycode, weathertype, high, low, wind, icon, isnight, issuetime
"402881e722964d2c012296549c510048","0","2009-07-21","54783","30% Chance Rain Shower","28","24"," S 14km/h","cond108.gif","false","12:00"
"402881e722964d2c012296549c510049","0","2009-07-22","54783","30% Chance Rain Shower","29","24"," S 19km/h","cond108.gif","false","12:00"
"402881e722964d2c012296549c51004a","0","2009-07-23","54783","Hazy","29","24"," SSW 23km/h","cond023.gif","false","12:00"
"402881e722964d2c012296549c51004b","0","2009-07-24","54783","Hazy","29","25"," SSW 21km/h","cond023.gif","false","12:00"
"402881e722964d2c012296549c51004c","0","2009-07-25","54783","50% Chance Rain Shower","29","25"," SSE 19km/h","cond110.gif","false","12:00"
"402881e722964d2c012296549c51004d","0","2009-07-26","54783","Hot and Humid","32","26"," SSW 19km/h","cond064.gif","false","12:00"
"402881e722964d2c012296549c51004e","0","2009-07-20","54790","Partly Cloudy","24","17"," SE 18km/h","cond003.gif","false","12:00"
"402881e722964d2c012296549c51004f","0","2009-07-21","54790","Partly Cloudy","28","19"," ENE 8km/h","cond003.gif","false","12:00"
"402881e722964d2c012296549c510050","0","2009-07-22","54790","Mostly Cloudy","29","20"," N 18km/h","cond024.gif","false","12:00"
"402881e722964d2c012296549c510051","0","2009-07-23","54790","Sunny","30","17"," SW 13km/h","cond007.gif","false","12:00"
"402881e722964d2c012296549c510052","0","2009-07-24","54790","Sunny","30","17"," SSE 18km/h","cond007.gif","false","12:00"
"402881e722964d2c012296549c510053","0","2009-07-25","54790","Mostly Cloudy","27","17"," E 11km/h","cond024.gif","false","12:00"
"402881e722964d2c012296549c510054","0","2009-07-26","54790","Partly Cloudy","32","17"," NNW 18km/h","cond003.gif","false","12:00"
"402881e722964d2c012296549c510055","0","2009-07-20","54803","Hot and Humid","36","28"," NE 10km/h","cond064.gif","false","12:00"
"402881e722964d2c012296549c510056","0","2009-07-21","54803","Hot and Humid","37","28"," SSE 13km/h","cond064.gif","false","12:00"
"402881e722964d2c012296549c510057","0","2009-07-22","54803","30% Chance Rain Shower","37","26"," SSW 21km/h","cond108.gif","false","12:00"
"402881e722964d2c012296549c600058","0","2009-07-23","54803","Hot and Humid","36","22"," SSW 13km/h","cond064.gif","false","12:00"
"402881e722964d2c012296549c600059","0","2009-07-24","54803","Hazy","31","22"," NE 23km/h","cond023.gif","false","12:00"
"402881e722964d2c012296549c60005a","0","2009-07-25","54803","Very Hot","32","24"," NE 10km/h","cond065.gif","false","12:00"
"402881e722964d2c012296549c60005b","0","2009-07-26","54803","Heavy Rain","23","18"," ESE 19km/h","cond063.gif","false","12:00"
"402881e722964d2c012296549c60005c","0","2009-07-20","54805","Very Hot","32","22"," WNW 6km/h","cond065.gif","false","12:00"
"402881e722964d2c012296549c60005d","0","2009-07-21","54805","Mostly Cloudy","27","22"," SSW 21km/h","cond024.gif","false","12:00"
"402881e722964d2c012296549c60005e","0","2009-07-22","54805","40% Chance Rain Shower","26","22"," WSW 18km/h","cond109.gif","false","12:00"
"402881e722964d2c012296549c60005f","0","2009-07-23","54805","Very Hot","33","22"," ENE 10km/h","cond065.gif","false","12:00"
"402881e722964d2c012296549c600060","0","2009-07-24","54805","Very Hot","32","21"," SSW 5km/h","cond065.gif","false","12:00"
"402881e722964d2c012296549c600061","0","2009-07-25","54805","Rain","28","18"," ESE 19km/h","cond005.gif","false","12:00"
"402881e722964d2c012296549c600062","0","2009-07-26","54805","50% Chance of Rain","22","18"," ENE 11km/h","cond089.gif","false","12:00"
"402881e722964d2c012296549c600063","0","2009-07-20","54810","Rain","27","19"," NNW 10km/h","cond005.gif","false","12:00"
"402881e722964d2c012296549c600064","0","2009-07-21","54810","50% Chance of Rain","21","17"," SE 10km/h","cond089.gif","false","12:00"
"402881e722964d2c012296549c600065","0","2009-07-22","54810","40% Chance of Drizzle","23","17"," WSW 11km/h","cond133.gif","false","12:00"
"402881e722964d2c012296549c600066","0","2009-07-23","54810","Mostly Cloudy","22","17"," W 18km/h","cond024.gif","false","12:00"
"402881e722964d2c012296549c600067","0","2009-07-24","54810","Mostly Cloudy","22","17"," WNW 14km/h","cond024.gif","false","12:00"
"402881e722964d2c012296549c600068","0","2009-07-25","54810","Mostly Cloudy","21","18"," W 18km/h","cond024.gif","false","12:00"
"402881e722964d2c012296549c600069","0","2009-07-26","54810","Mostly Cloudy","27","19"," W 21km/h","cond024.gif","false","12:00"
"402881e722964d2c012296549c60006a","0","2009-07-20","54811","Sunny","33","17"," WNW 16km/h","cond007.gif","false","12:00"
"402881e722964d2c012296549c60006b","0","2009-07-21","54811","Very Hot","35","21"," S 13km/h","cond065.gif","false","12:00"
"402881e722964d2c012296549c60006c","0","2009-07-22","54811","30% Chance Rain Shower","34","21"," SW 14km/h","cond108.gif","false","12:00"
